id	orgName	note type=def	note type=Mariette	cat. gén. BNF	data.bnf	IdRéf	VIAF	Wikidata
CoEg_org_00000015	Société géologique de Londres	(Geological Society of London)		https://catalogue.bnf.fr/ark:/12148/cb12324923g	https://data.bnf.fr/ark:/12148/cb12324923g	https://www.idref.fr/032165463	https://viaf.org/viaf/130236772	https://www.wikidata.org/wiki/Q1230936
CoEg_org_00000016	Ministère égyptien des Travaux publics			https://catalogue.bnf.fr/ark:/12148/cb16901932w	https://data.bnf.fr/ark:/12148/cb16901932w	https://www.idref.fr/140165614	https://viaf.org/viaf/217440582	
CoEg_org_00000017	Ministère égyptien de l'Instruction publique					https://www.idref.fr/086156683	https://viaf.org/viaf/208171813	
CoEg_org_00000018	Musée ethnographique							
CoEg_org_00000019	Ministère français de la Marine et des Colonies	(1790-1893)		https://catalogue.bnf.fr/ark:/12148/cb118761674	https://data.bnf.fr/ark:/12148/cb118761674	https://www.idref.fr/026531011	https://viaf.org/viaf/123917644	
CoEg_org_00000020	Département égyptien du musée du Louvre			https://catalogue.bnf.fr/ark:/12148/cb11877592p	https://data.bnf.fr/ark:/12148/cb11877592p	https://www.idref.fr/026549298		
CoEg_org_00000021	Musée de Turin			https://catalogue.bnf.fr/ark:/12148/cb12182616s	https://data.bnf.fr/ark:/12148/cb12182616s	https://www.idref.fr/030405858	https://viaf.org/viaf/168181167/	https://www.wikidata.org/wiki/Q19877
CoEg_org_00000022	Musée de Boulaq			https://catalogue.bnf.fr/ark:/12148/cb17003618k	https://data.bnf.fr/ark:/12148/cb17003618k	https://www.idref.fr/133209660	https://viaf.org/viaf/172517642	https://www.wikidata.org/wiki/Q2399429
CoEg_org_00000023	Collège de France			https://catalogue.bnf.fr/ark:/12148/cb11863147k	https://data.bnf.fr/ark:/12148/cb11863147k	https://www.idref.fr/026370921	https://viaf.org/viaf/146442710	https://www.wikidata.org/wiki/Q202660
CoEg_org_00000024	Archives nationales			https://catalogue.bnf.fr/ark:/12148/cb11862272t	https://data.bnf.fr/ark:/12148/cb11862272t	https://www.idref.fr/026359421	https://viaf.org/viaf/131469365	https://www.wikidata.org/wiki/Q182542
CoEg_org_00000025	Département des antiques et sculptures du musée du Louvre							
CoEg_org_00000026	Bibliothèque nationale de France			https://catalogue.bnf.fr/ark:/12148/cb12381002j	https://data.bnf.fr/ark:/12148/cb12381002j	https://www.idref.fr/03361122X	https://viaf.org/viaf/137156173	https://www.wikidata.org/wiki/Q193563
CoEg_org_00000027	Assemblée nationale législative	Parlement de la République française (1849-1852)		https://catalogue.bnf.fr/ark:/12148/cb133001967	https://data.bnf.fr/ark:/12148/cb133001967	https://www.idref.fr/095240918	https://viaf.org/viaf/136071566	https://www.wikidata.org/wiki/Q2867094
CoEg_org_00000028	comité royal de l’instruction publique							
CoEg_org_00000029	collège communal de Boulogne							
CoEg_org_00000030	comité local d’instruction primaire							
CoEg_org_00000031	société d’agriculture et des sciences							
CoEg_org_00000032	académie de Douai							
CoEg_org_00000033	bibliothèque du Vatican			https://catalogue.bnf.fr/ark:/12148/cb11873553t	https://data.bnf.fr/ark:/12148/cb11873553t	https://www.idref.fr/027307808	https://viaf.org/viaf/146085455	https://www.wikidata.org/wiki/Q213678
CoEg_org_00000034	Bodleian Library			https://catalogue.bnf.fr/ark:/12148/cb11930727f	https://data.bnf.fr/ark:/12148/cb11930727f	https://www.idref.fr/027217124	https://viaf.org/viaf/129788129	https://www.wikidata.org/wiki/Q82133
CoEg_org_00000035	couvent des Syriens						https://viaf.org/viaf/193145003315161301351	https://www.wikidata.org/wiki/Q1885762
CoEg_org_00000036	Académie des inscriptions et belles-lettres			https://catalogue.bnf.fr/ark:/12148/cb118621340	https://data.bnf.fr/ark:/12148/cb118621340	https://www.idref.fr/026357836	https://viaf.org/viaf/126085610	https://www.wikidata.org/wiki/Q337526
CoEg_org_00000037	Conseil supérieur de l’Instruction publique							
CoEg_org_00000038	Österreichischer Lloyd 	Compagnie maritime autrichienne, opérant notamment entre Trieste et Alexandrie par Brindisi					https://viaf.org/viaf/123780637	https://www.wikidata.org/wiki/Q306335
CoEg_org_00000039	commission des missions scientifiques							
CoEg_org_00000040	musée de Berlin			https://catalogue.bnf.fr/ark:/12148/cb123070010	https://data.bnf.fr/ark:/12148/cb123070010	https://www.idref.fr/031948243	https://viaf.org/viaf/124716958	https://www.wikidata.org/wiki/Q254156
CoEg_org_00000041	ministère français d'État							
CoEg_org_00000042	ministère français de l'Instruction publique						https://viaf.org/viaf/163583267	https://www.wikidata.org/wiki/Q2572330
CoEg_org_00000043	Prusse			https://catalogue.bnf.fr/ark:/12148/cb113529929	https://data.bnf.fr/ark:/12148/cb113529929	https://www.idref.fr/125686862	https://viaf.org/viaf/262341823/	https://www.wikidata.org/wiki/Q27306
CoEg_org_00000044	Compagnie des messageries impériales						https://viaf.org/viaf/150668457	https://www.wikidata.org/wiki/Q1259003
CoEg_org_00000045	Chailan frères							
CoEg_org_00000046	Lycée de Rennes							
CoEg_org_00000047	Crédit mobilier		Banque fondée par la famille Péreire, dont le siège se situait place Vendôme					https://www.wikidata.org/wiki/Q2297009
CoEg_org_00000048	Académie impériale de musique	ou Opéra Le Peletier					https://viaf.org/viaf/124695439	https://www.wikidata.org/wiki/Q3249117
CoEg_org_00000049	École normale supérieure			https://catalogue.bnf.fr/ark:/12148/cb122897952	https://data.bnf.fr/ark:/12148/cb122897952	https://www.idref.fr/031738419	https://viaf.org/viaf/147754228/	https://www.wikidata.org/wiki/Q83259
CoEg_org_00000050	Lycée Louis-le-Grand			https://catalogue.bnf.fr/ark:/12148/cb12194037s	https://data.bnf.fr/ark:/12148/cb12194037s	https://www.idref.fr/030547024	https://viaf.org/viaf/156855299	https://www.wikidata.org/wiki/Q1059546
CoEg_org_00000051	Mission égyptienne							https://www.wikidata.org/wiki/Q28495418
CoEg_org_00000052	École des jeunes de langues							https://www.wikidata.org/wiki/Q3577936
CoEg_org_00000053	Collège Sainte-Barbe			https://catalogue.bnf.fr/ark:/12148/cb15676313z	https://data.bnf.fr/ark:/12148/cb15676313z	https://www.idref.fr/093000901	https://viaf.org/viaf/168066345	https://www.wikidata.org/wiki/Q1110002
CoEg_org_00000054	Sainte-Barbe des Champs	Annexe du collège Sainte-Barbe, proche de Paris						https://www.wikidata.org/wiki/Q22924333
CoEg_org_00000055	Hinrichs	imprimeur de Leipzig						
CoEg_org_00000056	Empire ottoman	(en tant qu'État ; voir l'index géographique pour le territoire correspondant). Gouvernement et administration de l'Empire ottoman		https://catalogue.bnf.fr/ark:/12148/cb120859730	https://data.bnf.fr/ark:/12148/cb120859730	http://www.idref.fr/029178983	http://viaf.org/viaf/247645602	https://www.wikidata.org/wiki/Q12560
CoEg_org_00000057	La Maison d'Or	Restaurant et haut lieu de la vie nocturne parisienne						
CoEg_org_00000058	États-Unis d'Amérique	(en tant qu'État ; voir l'index géographique pour le territoire correspondant). Gouvernement et administration des États-Unis d'Amérique		https://catalogue.bnf.fr/ark:/12148/cb118636082	https://data.bnf.fr/ark:/12148/cb118636082	https://www.idref.fr/026376598	https://viaf.org/viaf/130168302	https://www.wikidata.org/wiki/Q30
CoEg_org_00000059	Commission des sciences et des arts	Commission d'Égypte ; Savants accompagnants l'expédition d'Égypte et responsable de la publication de la Description de l'Égypte		https://catalogue.bnf.fr/ark:/12148/cb14946043t	https://data.bnf.fr/ark:/12148/cb14946043t	http://www.idref.fr/178173401	http://viaf.org/viaf/121945968	https://www.wikidata.org/wiki/Q1243442
