person_id	type	persName	Qualité	Année de naissance	Année de décès	note type=def	note type=Mariette	BNF_URL	dataBnF	IDRef	VIAF	idno Wikidata
CoEg_pers_00000012	myth	Seth	Dieu égyptien				Mariette utilise la désignation grecque « Typhon » (cf. Rougé (de), Emmanuel, Notice sommaire des monuments égyptiens exposés dans les galeries du musée du Louvre, Paris, Simon Raçon et Cie, 1855, p. 59, https://bibliotheque-numerique.inha.fr/idviewer/12321/59)	https://catalogue.bnf.fr/ark:/12148/cb16717847z	https://data.bnf.fr/ark:/12148/cb16717847z	https://www.idref.fr/131833847	https://viaf.org/viaf/15612609	https://www.wikidata.org/wiki/Q188931
CoEg_pers_00000013	hist	Nectanébo Ier	Roi égyptien			(XXXe dynastie)				https://www.idref.fr/188528911	http://viaf.org/viaf/838144647709934922455	https://www.wikidata.org/wiki/Q175775
CoEg_pers_00000014	contemp	Lafuente					Mandaté par Anastasi pour vendre sa collection					
CoEg_pers_00000015	contemp	Anastasi, Giovanni	Marchand d'antiquités	1765	1860		Mariette utilise la formes « D’Anastasy »	https://catalogue.bnf.fr/ark:/12148/cb127360717	https://data.bnf.fr/ark:/12148/cb127360717		http://viaf.org/viaf/32737566	https://www.wikidata.org/wiki/Q5563656
CoEg_pers_00000016	contemp	Abbas Pacha	Vice-roi d'Égypte	1813	1854					https://www.idref.fr/191464740	https://viaf.org/viaf/88533334	https://www.wikidata.org/wiki/Q305882
CoEg_pers_00000017	contemp	Méhémet Ali	Vice-roi d'Égypte	1769	1849			https://catalogue.bnf.fr/ark:/12148/cb11969320q	https://data.bnf.fr/ark:/12148/cb11969320q 	https://www.idref.fr/161593585	https://viaf.org/viaf/29512610	https://www.wikidata.org/wiki/Q182781
CoEg_pers_00000018	contemp	Murray, Charles	Diplomate	1806	1895	Consul britannique en Égypte de 1846 à 1853		https://catalogue.bnf.fr/ark:/12148/cb12443225k	https://data.bnf.fr/ark:/12148/cb12443225k		https://viaf.org/viaf/22486983	https://www.wikidata.org/wiki/Q1063616
CoEg_pers_00000019	contemp	Linant de Bellefonds [Pacha], Louis Maurice Adolphe	Ingénieur	1798	1883			https://catalogue.bnf.fr/ark:/12148/cb124342933	https://data.bnf.fr/ark:/12148/cb124342933	https://www.idref.fr/033481059	https://viaf.org/viaf/73944857	https://www.wikidata.org/wiki/Q960740
CoEg_pers_00000020	contemp	Lambert [Bey], Charles Joseph	Ingénieur	1804	1864			https://catalogue.bnf.fr/ark:/12148/cb15366179m	https://data.bnf.fr/ark:/12148/cb15366179m		https://viaf.org/viaf/29834163	https://www.wikidata.org/wiki/Q18744680
CoEg_pers_00000021	contemp	Clot [Bey], Antoine	Médecin	1793	1868			https://catalogue.bnf.fr/ark:/12148/cb123565313	https://data.bnf.fr/ark:/12148/cb123565313	https://www.idref.fr/031474055	https://viaf.org/viaf/81980325	https://www.wikidata.org/wiki/Q2372786
CoEg_pers_00000022	contemp	Varin [Bey], Noël	Officier militaire	1784	1863							
CoEg_pers_00000023	contemp	Walker [Bey]				Boulanger britannique d'Abbas Pacha						
CoEg_pers_00000024	contemp	Le Moyne, Arnaud	Diplomate			Consul général et agent de France en Égypte ; remplacé par Sabatier à l'été 1852						
CoEg_pers_00000025	contemp	Benedetti, Vincent	Diplomate	1817	1900	Gendre d’Anastasi		https://catalogue.bnf.fr/ark:/12148/cb13743825w	https://data.bnf.fr/ark:/12148/cb13743825w	https://www.idref.fr/055674976	http://viaf.org/viaf/10026659	https://www.wikidata.org/wiki/Q1350848
CoEg_pers_00000026	hist	Ramsès II	Roi égyptien			(XIXe dynastie)		https://catalogue.bnf.fr/ark:/12148/cb11952902j	https://data.bnf.fr/ark:/12148/cb11952902j	http://www.idref.fr/027503658	https://viaf.org/viaf/25851094/	https://www.wikidata.org/wiki/Q1523
CoEg_pers_00000027	contemp	Batissier, Louis		1813	1882	Vice-consul de France à Suez entre 1848 et 1861		https://catalogue.bnf.fr/ark:/12148/cb13777288q	https://data.bnf.fr/ark:/12148/cb13777288q		http://viaf.org/viaf/107598696	http://wikidata.org/entity/Q52149686
CoEg_pers_00000028	contemp	Safar-Pacha				Moudir de Giza						
CoEg_pers_00000029	contemp	Stéphan Bey	Homme d'État			Ministre égyptien des Affaires étrangères						
CoEg_pers_00000030	hist	Cambyse II	Roi perse							https://www.idref.fr/123252385	https://viaf.org/viaf/57990573/	https://www.wikidata.org/wiki/Q182483
CoEg_pers_00000031	hist	Diodore de Sicile	Historien grec			(Ier siècle av. J.-C.)		https://catalogue.bnf.fr/ark:/12148/cb11900233c	https://data.bnf.fr/ark:/12148/cb11900233c	https://www.idref.fr/026832682	https://viaf.org/viaf/56608763	https://www.wikidata.org/wiki/Q171241
CoEg_pers_00000032	contemp	Rougé (de), Emmanuel	Égyptologue et haut fonctionnaire	1811	1872			https://catalogue.bnf.fr/ark:/12148/cb123351571	https://data.bnf.fr/ark:/12148/cb123351571	https://www.idref.fr/032294190	https://viaf.org/viaf/22213246	https://www.wikidata.org/wiki/Q2087467
CoEg_pers_00000033	contemp	Longpérier (de), Adrien	Archéologue	1816	1882			https://catalogue.bnf.fr/ark:/12148/cb12568704s	https://data.bnf.fr/ark:/12148/cb12568704s	https://www.idref.fr/07070631X	https://viaf.org/viaf/12424536	https://www.wikidata.org/wiki/Q127218
CoEg_pers_00000034	contemp	Viel-Castel (de), Horace	Historien d'art	1802	1864			https://catalogue.bnf.fr/ark:/12148/cb12644947d	https://data.bnf.fr/ark:/12148/cb12644947d	https://www.idref.fr/027184501	https://viaf.org/viaf/69051610	https://www.wikidata.org/wiki/Q3140481
CoEg_pers_00000035	contemp	Villot, Frédéric	Graveur et historien d'art	1809	1875			https://catalogue.bnf.fr/ark:/12148/cb12951365p	https://data.bnf.fr/ark:/12148/cb12951365p	https://www.idref.fr/032393725	https://viaf.org/viaf/24733526	https://www.wikidata.org/wiki/Q3090265
CoEg_pers_00000036	myth	Dieu										https://www.wikidata.org/wiki/Q190
CoEg_pers_00000037	contemp	Persigny (Fialin de ), Victor	Homme d'État	1808	1872	Ministre français de l’Intérieur de 1852 à 1854	Les Beaux-Arts dépendaient de son portefeuille jusqu'à la fin de 1852, ainsi que la mission confiée à Mariette en Égypte en 1850	https://catalogue.bnf.fr/ark:/12148/cb10722665h	https://data.bnf.fr/ark:/12148/cb10722665h	https://www.idref.fr/079940234	https://viaf.org/viaf/19923190	https://www.wikidata.org/wiki/Q3174556
CoEg_pers_00000038	contemp	Boujon					Chargé des transports pour le gouvernement français					
CoEg_pers_00000039	contemp	Verrier					Chargé des transports pour le gouvernement français					
CoEg_pers_00000040	contemp	Sabatier	Diplomate			Consul général de France en Égypte ; succède à Le Moyne au cours de l'été 1852						
CoEg_pers_00000041	contemp	Drouyn de Lhuys, Édouard	Homme d'État	1805	1881	Ministre français des Affaires étrangères entre 1852 et 1855		https://catalogue.bnf.fr/ark:/12148/cb13069509g	https://data.bnf.fr/ark:/12148/cb13069509g	https://www.idref.fr/093719345	https://viaf.org/viaf/17525718	https://www.wikidata.org/wiki/Q274294
CoEg_pers_00000042	contemp	Cornu, Albine Hortense (née Lacroix)		1809	1875	Amie d'enfance de Napoléon III et protectrice de Mariette et Desjardins		https://catalogue.bnf.fr/ark:/12148/cb16183183b	https://data.bnf.fr/ark:/12148/cb16183183b	https://www.idref.fr/033355746	https://viaf.org/viaf/71481362	https://www.wikidata.org/wiki/Q4233442
CoEg_pers_00000043	contemp	Sauzay, Alexandre	Historien d'art	1803	1870	Entra au Louvre comme commis en 1836 ; en 1861, il devint conservateur adjoint du musée des souverains (Archives nationales, 20150497/115, dossier 47)		https://catalogue.bnf.fr/ark:/12148/cb154854533	https://data.bnf.fr/ark:/12148/cb154854533	https://www.idref.fr/057144532	http://viaf.org/viaf/41688136	https://www.wikidata.org/wiki/Q66101481
CoEg_pers_00000044	contemp	Auguiot, Jean-Baptiste	Fonctionnaire			Entré au Louvre commis en 1829, il y finit sa carrière comme agent comptable en 1852 (dossier de carrière : Archives nationales, 20150497/114, dossier 36)						
CoEg_pers_00000045	hist	Nectanébo II	Roi égyptien			(XXXe dynastie)	Confondu par Mariette avec Nectanébo Ier (Lauer, Jean-Philippe, « Mariette à Sakkarah. Du Sérapéum à la direction des antiquités », dans Mélanges Mariette (Bibliothèque d'études 32), Le Caire, Institut français d'archéologie orientale, 1961, p. 3-55, p. 7, n. 2 [https://archive.org/details/BdE-32/page/n9/mode/2up])				https://viaf.org/viaf/45098268	https://www.wikidata.org/wiki/Q313126
CoEg_pers_00000046	contemp	Pastré, Eugène	Homme d'affaires	1806	1868							https://www.wikidata.org/wiki/Q5408576
CoEg_pers_00000047	myth	Ptah	Dieu égyptien			Patron de Memphis		https://catalogue.bnf.fr/ark:/12148/cb11980873x	https://data.bnf.fr/ark:/12148/cb11980873x		https://viaf.org/viaf/15571376	https://www.wikidata.org/wiki/Q146321
CoEg_pers_00000048	contemp	Hékékyan [Bey], Joseph	Haut fonctionnaire égyptien	1807	1875			https://catalogue.bnf.fr/ark:/12148/cb165386095	https://data.bnf.fr/ark:/12148/cb165386095	http://www.idref.fr/148056822	http://viaf.org/viaf/257147724	https://www.wikidata.org/wiki/Q3185073
CoEg_pers_00000049	contemp	Fleury-Hérard				Banquier ordinaire à Paris du corps diplomatique						
CoEg_pers_00000050	contemp	Aïdi					Négociant d'Égypte auprès de qui Mariette pouvait retirer ses fonds au début de sa première mission					
CoEg_pers_00000051	contemp	Brunet de Presle, Wladimir	Historien	1809	1875			https://catalogue.bnf.fr/ark:/12148/cb124629699	https://data.bnf.fr/ark:/12148/cb124629699	https://www.idref.fr/033808821	https://viaf.org/viaf/203410427	https://www.wikidata.org/wiki/Q4097433
CoEg_pers_00000052	contemp	Le Moyne, Auguste	Fils de Le Moyne									
CoEg_pers_00000053	contemp	Le Moyne, madame	Épouse de Le Moyne									
CoEg_pers_00000054	contemp	Bray de Buyser				Membre de la Société orientale (cf. Revue de l’Orient, 1855)	Mariette lui confia une caisse d'objets à rapporter en France					
CoEg_pers_00000055	hist	Artaxerxès III	Roi perse				Mariette utilise le nom « Ochus »				https://viaf.org/viaf/81603260	https://www.wikidata.org/wiki/Q192867
CoEg_pers_00000056	contemp	Nisard	Chargé de travaux au Louvre			Peut-être Charles Nisard (1808-1889)		https://catalogue.bnf.fr/ark:/12148/cb11917740x	https://data.bnf.fr/ark:/12148/cb11917740x	http://www.idref.fr/027048497	http://viaf.org/viaf/27069569	https://www.wikidata.org/wiki/Q1065647
CoEg_pers_00000057	hist	Darius Ier le Grand	Roi perse					https://catalogue.bnf.fr/ark:/12148/cb126902644	https://data.bnf.fr/ark:/12148/cb126902644	https://www.idref.fr/050127276	https://viaf.org/viaf/15560660	https://www.wikidata.org/wiki/Q44387
CoEg_pers_00000058	hist	Amasis	Roi égyptien			(XXVIe dynastie)					https://viaf.org/viaf/61941083	https://www.wikidata.org/wiki/Q312045
CoEg_pers_00000059	contemp	Soliman Pacha	Officier militaire	1788	1860	Français passé au service de l'Égypte		https://catalogue.bnf.fr/ark:/12148/cb14935790t	https://data.bnf.fr/ark:/12148/cb14935790t	http://www.idref.fr/151246068	http://viaf.org/viaf/182133269	https://www.wikidata.org/wiki/Q745216
CoEg_pers_00000060	myth	Sérapis	Dieu égyptien					https://catalogue.bnf.fr/ark:/12148/cb119726086	https://data.bnf.fr/ark:/12148/cb119726086		http://viaf.org/viaf/316434442	https://www.wikidata.org/wiki/Q214554
CoEg_pers_00000061	contemp	Lepsius, Karl Richard	Égyptologue	1810	1884			https://catalogue.bnf.fr/ark:/12148/cb12416893t	https://data.bnf.fr/ark:/12148/cb12416893t	https://www.idref.fr/033287740	https://viaf.org/viaf/66554760	https://www.wikidata.org/wiki/Q77231
CoEg_pers_00000062	contemp	Fouad Effendi										
CoEg_pers_00000063	hist	Apriès	Roi égyptien			(XXVIe dynastie)	Mariette utilise la forme « Ouaphris »				https://viaf.org/viaf/398519	https://www.wikidata.org/wiki/Q349291
CoEg_pers_00000064	hist	Chéchonq III	Roi égyptien			(XXIIe dynastie)						https://www.wikidata.org/wiki/Q878396
CoEg_pers_00000065	contemp	Rouland, Gustave	Homme d'État	1806	1878	Ministre français de l’Instruction publique de 1856 à 1863		https://catalogue.bnf.fr/ark:/12148/cb155876341	https://data.bnf.fr/ark:/12148/cb155876341		https://viaf.org/viaf/12625084	https://www.wikidata.org/wiki/Q3121315
CoEg_pers_00000066	hist	Neshor					Mariette utilise la forme « Ensahor »					
CoEg_pers_00000067	contemp	Delaporte, Pacifique-Henri		1816	1877	Consul de France au Caire		https://catalogue.bnf.fr/ark:/12148/cb104669559	https://data.bnf.fr/ark:/12148/cb104669559	https://www.idref.fr/166147788	https://viaf.org/viaf/24591314	https://www.wikidata.org/wiki/Q47461240
CoEg_pers_00000068	myth	Anubis	Dieu égyptien					https://catalogue.bnf.fr/ark:/12148/cb12264465p	https://data.bnf.fr/ark:/12148/cb12264465p	https://www.idref.fr/031428800	https://viaf.org/viaf/5144782931443628507	https://www.wikidata.org/wiki/Q47534
CoEg_pers_00000069	hist	Antef					Mariette utilise la forme « Entef »					
CoEg_pers_00000070	contemp	Bonnefoy		?	1859		Auxiliaire officieux de Mariette pendant ses premières fouilles au Sérapéum ; nommé membre du service de conservation des antiquités de l'Égypte à sa création en 1858					
CoEg_pers_00000071	contemp	Napoléon III	Empereur des Français	1808	1873			https://catalogue.bnf.fr/ark:/12148/cb12462544v	https://data.bnf.fr/ark:/12148/cb12462544v	https://www.idref.fr/027274896	https://viaf.org/viaf/88934487	https://www.wikidata.org/wiki/Q7721
CoEg_pers_00000072	myth	Allah										https://www.wikidata.org/wiki/Q234801
CoEg_pers_00000073	boat	L'Albatros				Frégate à vapeur française						
CoEg_pers_00000074	contemp	Bonaparte, Napoléon-Jérôme	Prince français	1822	1891			https://catalogue.bnf.fr/ark:/12148/cb14539256j	https://data.bnf.fr/ark:/12148/cb14539256j	https://www.idref.fr/078526965	https://viaf.org/viaf/103645462	https://www.wikidata.org/wiki/Q434077
CoEg_pers_00000075	contemp	Fould, Achille	Homme d'État	1800	1867			https://catalogue.bnf.fr/ark:/12148/cb12459740h	https://data.bnf.fr/ark:/12148/cb12459740h	https://www.idref.fr/029691257	https://viaf.org/viaf/7485939	https://www.wikidata.org/wiki/Q340215
CoEg_pers_00000076	contemp	Eugénie (impératrice)	Impératrice, épouse de Napoléon III	1826	1920			https://catalogue.bnf.fr/ark:/12148/cb13013975w	https://data.bnf.fr/ark:/12148/cb13013975w	https://www.idref.fr/027320448	https://viaf.org/viaf/39510739	https://www.wikidata.org/wiki/Q157130
CoEg_pers_00000077	contemp	Louis-Philippe Ier	Roi des Français	1773	1850			https://catalogue.bnf.fr/ark:/12148/cb120083455	https://data.bnf.fr/ark:/12148/cb120083455	https://www.idref.fr/028200004	https://viaf.org/viaf/55392984	https://www.wikidata.org/wiki/Q7771
CoEg_pers_00000078	contemp	Adolphe Billaut	Homme d'État	1805	1863	Ministre français de l’Intérieur		https://catalogue.bnf.fr/ark:/12148/cb13209940t	https://data.bnf.fr/ark:/12148/cb13209940t	https://www.idref.fr/147979323	https://viaf.org/viaf/49367618	https://www.wikidata.org/wiki/Q505189
CoEg_pers_00000079	contemp	Morny (de), Charles	Homme d'État	1811	1865			https://catalogue.bnf.fr/ark:/12148/cb119639291	https://data.bnf.fr/ark:/12148/cb119639291	https://www.idref.fr/027641082	https://viaf.org/viaf/36926334	https://www.wikidata.org/wiki/Q965335
CoEg_pers_00000080	contemp	Saïd Pacha	Vice-roi d'Égypte	1822	1863					https://www.idref.fr/170062791	https://viaf.org/viaf/88532611	https://www.wikidata.org/wiki/Q366744
CoEg_pers_00000081	contemp	Ferri-Pisani, Camille	Officier militaire	1819	1893	Aide-de-camp du prince Napoléon		https://catalogue.bnf.fr/ark:/12148/cb12122728t	https://data.bnf.fr/ark:/12148/cb12122728t	https://www.idref.fr/09538197X	https://viaf.org/viaf/49258379	https://www.wikidata.org/wiki/Q23054685
CoEg_pers_00000082	contemp	Devéria, Théodule	Égyptologue	1831	1871			https://catalogue.bnf.fr/ark:/12148/cb129494828	https://data.bnf.fr/ark:/12148/cb129494828	https://www.idref.fr/032274386	https://viaf.org/viaf/51821846	https://www.wikidata.org/wiki/Q406953
CoEg_pers_00000083	contemp	Mariette, Émilie Marie		1855	1871		Fille de Mariette					
CoEg_pers_00000084	contemp	Mariette, Alphonse Paulin		1856	1879		Fils de Mariette					
CoEg_pers_00000085	contemp	Faucher, Léon	Homme d'État	1803	1854	Ministre français de l’Intérieur en 1851 (en tant que chef du gouvernement)		http://catalogue.bnf.fr/ark:/12148/cb125109558	http://data.bnf.fr/ark:/12148/cb125109558	http://www.idref.fr/034344985	http://viaf.org/viaf/41946936	https://www.wikidata.org/wiki/Q954880
CoEg_pers_00000086	contemp	Crouseilhes (de), Marie-Jean-Pierre-Pie-Frédéric Dombidau	Homme d'État	1792	1861	Ministre français de l’Instruction publique en 1851		http://catalogue.bnf.fr/ark:/12148/cb10740894k	http://data.bnf.fr/ark:/12148/cb10740894k	http://www.idref.fr/152794360	http://viaf.org/viaf/107023070	https://www.wikidata.org/wiki/Q3292595
CoEg_pers_00000087	contemp	Ibrahim Pacha	Vice-roi d'Égypte	1789	1848			https://catalogue.bnf.fr/ark:/12148/cb13623851v	https://data.bnf.fr/ark:/12148/cb13623851v	https://www.idref.fr/072774940	https://viaf.org/viaf/90061784	https://www.wikidata.org/wiki/Q311789
CoEg_pers_00000088	contemp	Fernandez, Solomon	Marchand d'antiquités	?	1860							
CoEg_pers_00000089	contemp	Messara, Youssouf				Joseph Messara était drogman auxiliaire au vice-consulat de France au Caire en 1822 (Dardaud, G., « Un ingénieur français au service de Mohamed Ali. Louis Alexis Jumel (1785-1823) », Bulletin de l’Institut d’Égypte 22, 1939-1940, p. 49-97, p. 91). Il est cité par Champollion en 1828, sous le nom de Joseph ou Joussouf Msarra, comme drogman du consulat (Champollion le Jeune, Jean-François (Hartleben, Hermine, éd.), Lettres et journaux de Champollion t. 2 Lettres et journaux écrits pendant le voyage d’Égypte (Bibliothèque égyptologique 31), Paris, Ernest Leroux, 1909, p. 73 [https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f102.image] et 98 [https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f129.image]).	Messara est cité en 1851 comme un Européen possédant des antiquités à Saqqarah					
CoEg_pers_00000090	contemp	Salvandy (de), Narcisse-Achille	Homme d'État	1795	1856			https://catalogue.bnf.fr/ark:/12148/cb130079493	https://data.bnf.fr/fr/13007949/narcisse-achille_de_salvandy/			https://www.wikidata.org/wiki/Q1381121
CoEg_pers_00000091	hist	Amenhotep III	Roi égyptien			(XVIIIe dynastie)		https://catalogue.bnf.fr/ark:/12148/cb122180169	https://data.bnf.fr/ark:/12148/cb122180169	http://www.idref.fr/030846315	https://viaf.org/viaf/262737692/	https://www.wikidata.org/wiki/Q42606
CoEg_pers_00000092	hist	Toutânkhamon	Roi égyptien			(XVIIIe dynastie)		https://catalogue.bnf.fr/ark:/12148/cb12008509v	https://data.bnf.fr/ark:/12148/cb12008509v	https://www.idref.fr/028202171	http://viaf.org/viaf/148503630	http://wikidata.org/entity/Q12154
CoEg_pers_00000093	contemp	Camaret, Louis	Fonctionnaire français	1795	1860	Recteur de l'académie de Douai		https://catalogue.bnf.fr/ark:/12148/cb102117199	https://data.bnf.fr/ark:/12148/cb102117199			https://www.wikidata.org/wiki/Q42904349
CoEg_pers_00000094	contemp	Champollion le Jeune, Jean-François	Égyptologue	1790	1832			https://catalogue.bnf.fr/ark:/12148/cb11895998s	https://data.bnf.fr/ark:/12148/cb11895998s	https://www.idref.fr/026777509	https://viaf.org/viaf/34454460	https://www.wikidata.org/wiki/Q260
CoEg_pers_00000095	contemp	Young, Thomas	Physicien	1773	1829			https://catalogue.bnf.fr/ark:/12148/cb12571287f	https://data.bnf.fr/ark:/12148/cb12571287f	https://www.idref.fr/035025816	https://viaf.org/viaf/128851	https://www.wikidata.org/wiki/Q25820
CoEg_pers_00000096	contemp	Åkerblad, Johan David	Orientaliste	1763	1819			https://catalogue.bnf.fr/ark:/12148/cb12140208r	https://data.bnf.fr/ark:/12148/cb12140208r	https://www.idref.fr/029865840	https://viaf.org/viaf/24637340	https://www.wikidata.org/wiki/Q692438
CoEg_pers_00000097	contemp	Letronne, Jean Antoine	Antiquisant	1787	1848			https://catalogue.bnf.fr/ark:/12148/cb12338945z	https://data.bnf.fr/ark:/12148/cb12338945z	https://www.idref.fr/068531230	https://viaf.org/viaf/36990347	https://www.wikidata.org/wiki/Q574368
CoEg_pers_00000098	hist	Critirnus ?										
CoEg_pers_00000099	myth	Moïse	Personnage biblique								https://viaf.org/viaf/805492	https://www.wikidata.org/wiki/Q9077
CoEg_pers_00000100	myth	Abraham	Personnage biblique					https://catalogue.bnf.fr/ark:/12148/cb165820767	https://data.bnf.fr/ark:/12148/cb165820767		https://viaf.org/viaf/89660956	https://www.wikidata.org/wiki/Q9181
CoEg_pers_00000101	myth	Cadmus	Héros grec			Fondateur de Thèbes (Boétie), à qui l'on attribue l'introduction de l'alphabet phénicien en Grèce		https://catalogue.bnf.fr/ark:/12148/cb15060389h	https://data.bnf.fr/ark:/12148/cb15060389h	https://www.idref.fr/111293693	https://viaf.org/viaf/208236507/	https://www.wikidata.org/wiki/Q27613
CoEg_pers_00000102	myth	Josué	Personnage biblique					https://catalogue.bnf.fr/ark:/12148/cb170211242	https://data.bnf.fr/ark:/12148/cb170211242		https://viaf.org/viaf/4580147270512135700006	https://www.wikidata.org/wiki/Q7734
CoEg_pers_00000103	hist	Ulfilas	Religieux goth	v. 311	383		Mariette écrit « Ulphilas »	https://catalogue.bnf.fr/ark:/12148/cb12005325t	https://data.bnf.fr/ark:/12148/cb12005325t	https://www.idref.fr/028163656	https://viaf.org/viaf/66477200	https://www.wikidata.org/wiki/Q107317
CoEg_pers_00000104	hist	Lao-Tseu	Philosophe chinois					https://catalogue.bnf.fr/ark:/12148/cb11911025n	https://data.bnf.fr/ark:/12148/cb11911025n	https://www.idref.fr/026965402	https://viaf.org/viaf/101089774	https://www.wikidata.org/wiki/Q9333
CoEg_pers_00000105	hist	Aristote	Philosophe grec	385	322			https://catalogue.bnf.fr/ark:/12148/cb13091331s	https://data.bnf.fr/ark:/12148/cb13091331s	https://www.idref.fr/026690276	https://viaf.org/viaf/7524651/	https://www.wikidata.org/wiki/Q868
CoEg_pers_00000106	hist	Platon	Philosophe grec	428/427	348/347			https://catalogue.bnf.fr/ark:/12148/cb11920019p	https://data.bnf.fr/ark:/12148/cb11920019p	https://www.idref.fr/027076164	https://viaf.org/viaf/108159964/	https://www.wikidata.org/wiki/Q859
CoEg_pers_00000107	hist	Polybe	Historien grec	208	126			https://catalogue.bnf.fr/ark:/12148/cb11920194q	https://data.bnf.fr/ark:/12148/cb11920194q	https://www.idref.fr/027352188	https://viaf.org/viaf/267920293/	https://www.wikidata.org/wiki/Q131169
CoEg_pers_00000108	hist	Hérodote d'Halicarnasse	Historien grec	v. 480	v. 425			https://catalogue.bnf.fr/ark:/12148/cb119073789	https://data.bnf.fr/ark:/12148/cb119073789	https://www.idref.fr/085720917	https://viaf.org/viaf/100225976/	https://www.wikidata.org/wiki/Q26825
CoEg_pers_00000109	hist	Plutarque	Écrivain grec	v. 46	v. 125			https://catalogue.bnf.fr/ark:/12148/cb119200813	https://data.bnf.fr/ark:/12148/cb119200813	https://www.idref.fr/027076784	https://viaf.org/viaf/268955446/	https://www.wikidata.org/wiki/Q41523
CoEg_pers_00000110	hist	Apulée	Écrivain latin	v. 125	Apr. 170			https://catalogue.bnf.fr/ark:/12148/cb125686918	https://data.bnf.fr/ark:/12148/cb125686918	https://www.idref.fr/034995145	https://viaf.org/viaf/32115433	https://www.wikidata.org/wiki/Q170512
CoEg_pers_00000111	hist	Tacite	Historien latin	56	120			https://catalogue.bnf.fr/ark:/12148/cb11887667z	https://data.bnf.fr/ark:/12148/cb11887667z	https://www.idref.fr/026672316	https://viaf.org/viaf/100226923	https://www.wikidata.org/wiki/Q2161
CoEg_pers_00000112	hist	Clément d’Alexandrie	Écrivain grec	v. 150	v. 215			https://catalogue.bnf.fr/ark:/12148/cb11897014x	https://data.bnf.fr/ark:/12148/cb11897014x	https://www.idref.fr/026791145	https://viaf.org/viaf/100185827/	https://www.wikidata.org/wiki/Q188883
CoEg_pers_00000113	hist	Philon d'Alexandrie	Écrivain grec	v. 20	v. 45			https://catalogue.bnf.fr/ark:/12148/cb11919600w	https://data.bnf.fr/ark:/12148/cb11919600w	https://www.idref.fr/027070980	https://viaf.org/viaf/310526579/	https://www.wikidata.org/wiki/Q189597
