id	entry	note	CNRTL	idno type=Wikidata	note type=Mariette
CoEg_entry_00000040	hycsos	Groupes d'origine asiatique installés dans le Delta pendant la Deuxième Période intermédiaire		https://www.wikidata.org/wiki/Q192319	
CoEg_entry_00000041	tolle	Du latin, « supprime, exécute ! » (Jean XIX, 15). Protestation véhémente, indignation	https://www.cnrtl.fr/definition/toll%C3%A9		
CoEg_entry_00000042	smala	De l'arabe maghrébin زمالة [zmālah] « famille, campement, suite »	https://www.cnrtl.fr/definition/smala	https://www.wikidata.org/wiki/Q3486835	
CoEg_entry_00000043	salamlik	Du turc ottoman سلاملك [salāmlik]. Dans une maison ottomane, appartement des hommes où étaient reçus les invités		https://www.wikidata.org/wiki/Q1778332	
CoEg_entry_00000044	medjidie	Du turc ottoman مجیدی [mejīdī] « de (Abdül)-Mecid (II) », décoration honorifique ottomane	https://www.cnrtl.fr/definition/medjidi%C3%A9	https://www.wikidata.org/wiki/Q599024	
CoEg_entry_00000045	statu quo	Du latin in statu quo ante bellum « dans l'état d'avant la guerre ». Situation présente	https://www.cnrtl.fr/definition/statu%20quo	https://www.wikidata.org/wiki/Q201610	
CoEg_entry_00000046	iséum	Temple d'Isis		https://www.wikidata.org/wiki/Q6079776	
CoEg_entry_00000047	khédive	Du turc ottoman خدیو [ḫidīw] « seigneur », titre obtenu par le vice-roi d'Égypte du sultan ottoman en 1867	https://www.cnrtl.fr/definition/khedive	https://www.wikidata.org/wiki/Q127878	
CoEg_entry_00000048	de visu	Du latin, « d'après ce qu'on a vu »	https://www.cnrtl.fr/definition/de%20visu	https://www.wikidata.org/wiki/Q3704181	
CoEg_entry_00000049	epiphi	Troisième mois de la saison de la récolte		https://www.wikidata.org/wiki/Q1672224	
CoEg_entry_00000050	in-folio	Format d’impression dans lequel la feuille est pliée trois fois de manière à former huit feuillets (ou seize pages)	https://www.cnrtl.fr/definition/in-folio	https://www.wikidata.org/wiki/Q772267	
CoEg_entry_00000051	ab irato	Du latin, « sous la colère »	https://www.cnrtl.fr/definition/ab%20irato	https://www.wikidata.org/wiki/Q3603111	
CoEg_entry_00000052	vérandah	Galerie couverte devant une façade	https://www.cnrtl.fr/definition/v%C3%A9randa	https://www.wikidata.org/wiki/Q693922	
CoEg_entry_00000053	tutti quanti	De l’italien, « tous autant qu’ils sont »; clôt ou remplace une énumération	https://www.cnrtl.fr/definition/tutti%20quanti		
CoEg_entry_00000054	caput mortuum	Résidu d’opération chimique ou alchimique, matière jugée sans intérêt, et pigment ocre		https://www.wikidata.org/wiki/Q421089	
CoEg_entry_00000055	ouléma	De l’arabe علماء [ʿulamāʾ] « savants», docteur de la loi islamique	https://cnrtl.fr/definition/oul%C3%A9ma	https://www.wikidata.org/wiki/Q189459	Mariette écrit « uléma ».
CoEg_entry_00000056	inde iræ	Du latin, « de là la colère »			
CoEg_entry_00000057	exeat	Du latin, « qu'il sorte ». Congé donné par un médecin	https://www.cnrtl.fr/definition/exeat	https://www.wikidata.org/wiki/Q5419755	
CoEg_entry_00000058	idem	Du latin, « le même »	https://www.cnrtl.fr/definition/idem	https://www.wikidata.org/wiki/Q3791791	
CoEg_entry_00000059	spéos	Du grec ancien σπέος [speos] « trou, grotte ». En archéologie égyptienne, structure cultuelle (temple ou chapelle) excavée	https://www.cnrtl.fr/definition/spéos	https://www.wikidata.org/wiki/Q1466564	
CoEg_entry_00000060	serdab	Du persan et de l'arabe سرداب [sardāb] « cave ». Réduit où était déposé la statue du défunt, dans un mastaba	https://www.cnrtl.fr/definition/serdab	https://www.wikidata.org/wiki/Q607898	Mariette est à l'origine de l'utilisation de cette expression en égyptologie
CoEg_entry_00000061	tarbouche	De l'arabe طَرْبُوش‎ [ṭarbūš], bonnet de feutre rouge à gland, coiffe réglementaire des fonctionnaires ottomans et égyptiens à partir de 1829	https://www.cnrtl.fr/definition/tarbouche	https://www.wikidata.org/wiki/Q189862	
CoEg_entry_00000062	oque	Du turc ottoman اوقه [oqqah], mesure équivalent à environ 1,2 kg	https://www.cnrtl.fr/definition/oque	https://www.wikidata.org/wiki/Q2017266	Mariette écrit « oke » selon l'usage de l'époque.
CoEg_entry_00000063	Ramadan	De l'arabe رَمَضَان [Ramaḍān], mois de jeûne	https://www.cnrtl.fr/definition/ramadan	https://www.wikidata.org/wiki/Q41662	
CoEg_entry_00000064	in medias res	Du latin « au milieu de l’affaire » (Horace, Art poétique)		https://www.wikidata.org/wiki/Q277720	
CoEg_entry_00000065	cheikh/sheikh	De l'arabe شيخ [šayḫ] « chef »	https://www.cnrtl.fr/definition/cheikh	https://www.wikidata.org/wiki/Q185166	
CoEg_entry_00000066	harem	De l'arabe حريم [ḥarīm], « lieu consacré », appartement des femmes	https://www.cnrtl.fr/definition/harem	https://www.wikidata.org/wiki/Q165853	
CoEg_entry_imn		Terme à définir			
